# Global total import (equivalent to global total export) of cereals (Mt),,,
Scenario,year,crop,value
RF,2015,cereals,342.8811596
RF,2020,cereals,358.7540168
RF,2025,cereals,382.0311282
RF,2030,cereals,406.4353669
RF,2035,cereals,422.4628452
RF,2040,cereals,443.6930673
RF,2045,cereals,467.9532909
RF,2050,cereals,490.3081124
CC,2015,cereals,342.8811596
CC,2020,cereals,359.3778396
CC,2025,cereals,383.1661637
CC,2030,cereals,407.553546
CC,2035,cereals,424.1859616
CC,2040,cereals,445.0472086
CC,2045,cereals,467.2422539
CC,2050,cereals,487.7688939
SS,2015,cereals,342.8811596
SS,2020,cereals,358.7540168
SS,2025,cereals,200.2459432
SS,2030,cereals,214.4883343
SS,2035,cereals,220.2725808
SS,2040,cereals,226.4881844
SS,2045,cereals,233.1649399
SS,2050,cereals,240.1074417
SC,2015,cereals,342.8811596
SC,2020,cereals,359.3778396
SC,2025,cereals,206.8844018
SC,2030,cereals,215.379669
SC,2035,cereals,217.4736789
SC,2040,cereals,223.7548937
SC,2045,cereals,232.0018888
SC,2050,cereals,239.1492369
