# global total land allocation to cereal crops (thous km2),,,
year,Scenario,value,crop
2015,CC,5964.844759,cereals
2020,CC,5938.402246,cereals
2025,CC,5910.596789,cereals
2030,CC,5857.914567,cereals
2035,CC,5813.878154,cereals
2040,CC,5784.388981,cereals
2045,CC,5752.257162,cereals
2050,CC,5712.434865,cereals
2015,RF,5964.844759,cereals
2020,RF,5924.980791,cereals
2025,RF,5897.818529,cereals
2030,RF,5840.654315,cereals
2035,RF,5792.813889,cereals
2040,RF,5763.484985,cereals
2045,RF,5733.166972,cereals
2050,RF,5692.299093,cereals
2015,SS,5964.844759,cereals
2020,SS,5924.980791,cereals
2025,SS,5716.00814,cereals
2030,SS,5654.572641,cereals
2035,SS,5596.309955,cereals
2040,SS,5554.534614,cereals
2045,SS,5510.213581,cereals
2050,SS,5455.970941,cereals
2015,SC,5964.844759,cereals
2020,SC,5938.402246,cereals
2025,SC,5731.074362,cereals
2030,SC,5668.351335,cereals
2035,SC,5608.944575,cereals
2040,SC,5566.017917,cereals
2045,SC,5520.784017,cereals
2050,SC,5466.312135,cereals
