RegID,RegID1,region
G1,USA,USA
G2,E. Africa,Africa_Eastern
G3,N. Africa,Africa_Northern
G4,S. Africa,Africa_Southern
G5,W. Africa,Africa_Western
G6,Australia_NZ,Australia_NZ
G7,Brazil,Brazil
G8,Canada,Canada
G9,C. America & Carib.,Central America and Caribbean
G10,C. Asia,Central Asia
G11,China,China
G12,EU-12,EU-12
G13,EU-15,EU-15
G14,E. Europe,Europe_Eastern
G15,Europe_Non-EU,Europe_Non_EU
G16,Europe_FTA,European Free Trade Association
G17,India,India
G18,Indonesia,Indonesia
G19,Japan,Japan
G20,Mexico,Mexico
G21,M. East,Middle East
G22,Pakistan,Pakistan
G23,Russia,Russia
G24,South Africa,South Africa
G25,S. America_N.,South America_Northern
G26,S. America_S.,South America_Southern
G27,S. Asia,South Asia
G28,South Korea,South Korea
G29,S.E. Asia,Southeast Asia
G30,Taiwan,Taiwan
G31,Argentina,Argentina
G32,Colombia,Colombia
