# Percent change of 2050 domestic cereal production versus percent change vs RF of domestic cereal consumption under SC,,,
region,SSR RF 2050,delta_cons,delta_prod
South Korea,0.202338745,-0.70498948,0.45800439
Japan,0.231681821,-0.662101927,0.458454457
Taiwan,0.295220355,-0.435951809,0.910601472
European Free Trade Association,0.332270139,-0.551885749,0.348644923
Middle East,0.3647468,-0.494807627,0.385048597
Colombia,0.449923009,-0.342326393,0.46174563
Central America and Caribbean,0.486385882,-0.315332594,0.40766355
Africa_Northern,0.574026371,-0.269257846,0.273010866
South America_Northern,0.635821461,-0.187883839,0.277270426
Mexico,0.697686903,-0.226722906,0.108345318
Africa_Western,0.707818997,-0.262611937,0.041775809
Africa_Southern,0.824489431,-0.184396942,-0.010776329
South Africa,0.841378723,-0.064777161,0.111538171
Africa_Eastern,0.846500721,-0.163892946,-0.012277605
EU-15,0.85809884,-0.102499495,0.045915766
Indonesia,0.864827544,-0.094914044,0.04655052
South Asia,0.943586213,-0.030663218,0.027290814
Europe_Non_EU,0.95862398,-0.03964929,0.001801053
China,0.989899117,-0.047125535,-0.037403559
India,1.029454332,-0.015632918,-0.043797722
Southeast Asia,1.046499561,-0.020529662,-0.064052416
South America_Southern,1.047320525,-0.047164555,-0.090216857
Central Asia,1.076671256,0.039482422,-0.034540595
Pakistan,1.100230624,0.034199175,-0.060015209
USA,1.234452661,-0.017740725,-0.204294628
EU-12,1.261385348,0.122100819,-0.110421031
Russia,1.333205336,0.119665181,-0.160170243
Canada,1.42159508,0.166632807,-0.17934961
Europe_Eastern,1.470487405,0.147997233,-0.219308053
Brazil,1.504535688,0.125568749,-0.25188334
Argentina,2.607490795,0.352963376,-0.481123753
Australia_NZ,4.070263532,0.985592028,-0.512170932
