"# Absolute change of cereal SSR in 2050 relative to 2015 under the RF scenario, across GCAM regions",,,,,,,,,,,,,,,,,
region,SSR RF 2050,SSR RF 2015,Difference,,,,,,,,,,,,,,
South Korea,0.202338745,0.308011443,-0.105672698,,,,,,,,,,,,,,
Japan,0.231681821,0.315019884,-0.083338062,,,,,,,,,,,,,,
Taiwan,0.295220355,0.224781101,0.070439254,,,,,,,,,,,,,,
European Free Trade Association,0.332270139,0.466824155,-0.134554016,,,,,,,,,,,,,,
Middle East,0.3647468,0.410704379,-0.045957579,,,,,,,,,,,,,,
Colombia,0.449923009,0.384680159,0.06524285,,,,,,,,,,,,,,
Central America and Caribbean,0.486385882,0.405121284,0.081264598,,,,,,,,,,,,,,
Africa_Northern,0.574026371,0.536233703,0.037792668,,,,,,,,,,,,,,
South America_Northern,0.635821461,0.524199124,0.111622336,,,,,,,,,,,,,,
Mexico,0.697686903,0.693429055,0.004257848,,,,,,,,,,,,,,
Africa_Western,0.707818997,0.756431364,-0.048612367,,,,,,,,,,,,,,
Africa_Southern,0.824489431,0.774515308,0.049974122,,,,,,,,,,,,,,
South Africa,0.841378723,0.83548571,0.005893013,,,,,,,,,,,,,,
Africa_Eastern,0.846500721,0.864715307,-0.018214586,,,,,,,,,,,,,,
EU-15,0.85809884,0.965306474,-0.107207635,,,,,,,,,,,,,,
Indonesia,0.864827544,0.891983453,-0.027155909,,,,,,,,,,,,,,
South Asia,0.943586213,0.934343996,0.009242217,,,,,,,,,,,,,,
Europe_Non_EU,0.95862398,1.016680758,-0.058056778,,,,,,,,,,,,,,
China,0.989899117,0.980935589,0.008963528,,,,,,,,,,,,,,
India,1.029454332,1.090076065,-0.060621733,,,,,,,,,,,,,,
Southeast Asia,1.046499561,1.004569159,0.041930402,,,,,,,,,,,,,,
South America_Southern,1.047320525,0.933031157,0.114289368,,,,,,,,,,,,,,
Central Asia,1.076671256,1.066047809,0.010623446,,,,,,,,,,,,,,
Pakistan,1.100230624,1.173192943,-0.072962319,,,,,,,,,,,,,,
USA,1.234452661,1.140930019,0.093522643,,,,,,,,,,,,,,
EU-12,1.261385348,1.256339534,0.005045814,,,,,,,,,,,,,,
Russia,1.333205336,1.264288514,0.068916822,,,,,,,,,,,,,,
Canada,1.42159508,1.434720313,-0.013125233,,,,,,,,,,,,,,
Europe_Eastern,1.470487405,1.557057913,-0.086570508,,,,,,,,,,,,,,
Brazil,1.504535688,1.139432762,0.365102926,,,,,,,,,,,,,,
Argentina,2.607490795,2.497895831,0.109594965,,,,,,,,,,,,,,
Australia_NZ,4.070263532,3.553442055,0.516821478,,,,,,,,,,,,,,
