"# Percent change of land allocation to cereals in selected regions and globally under four model scenarios, compared to the RF",,,
region,year,Scenario,value
Global,2015,RF,0
Global,2015,RF,0
Global,2015,RF,0
Global,2015,RF,0
Global,2015,RF,0
Global,2015,RF,0
Global,2015,SS,0
Global,2015,SS,0
Global,2015,SS,0
Global,2015,SS,0
Global,2015,SS,0
Global,2015,SS,0
Global,2015,CC,0
Global,2015,CC,0
Global,2015,CC,0
Global,2015,CC,0
Global,2015,CC,0
Global,2015,CC,0
Global,2015,SC,0
Global,2015,SC,0
Global,2015,SC,0
Global,2015,SC,0
Global,2015,SC,0
Global,2015,SC,0
Global,2020,RF,0
Global,2020,RF,0
Global,2020,RF,0
Global,2020,RF,0
Global,2020,RF,0
Global,2020,RF,0
Global,2020,SS,0
Global,2020,SS,0
Global,2020,SS,0
Global,2020,SS,0
Global,2020,SS,0
Global,2020,SS,0
Global,2020,CC,0.002265232
Global,2020,CC,0.002265232
Global,2020,CC,0.002265232
Global,2020,CC,0.002265232
Global,2020,CC,0.002265232
Global,2020,CC,0.002265232
Global,2020,SC,0.002265232
Global,2020,SC,0.002265232
Global,2020,SC,0.002265232
Global,2020,SC,0.002265232
Global,2020,SC,0.002265232
Global,2020,SC,0.002265232
Global,2025,RF,0
Global,2025,RF,0
Global,2025,RF,0
Global,2025,RF,0
Global,2025,RF,0
Global,2025,RF,0
Global,2025,SS,-0.030826718
Global,2025,SS,-0.030826718
Global,2025,SS,-0.030826718
Global,2025,SS,-0.030826718
Global,2025,SS,-0.030826718
Global,2025,SS,-0.030826718
Global,2025,CC,0.002166608
Global,2025,CC,0.002166608
Global,2025,CC,0.002166608
Global,2025,CC,0.002166608
Global,2025,CC,0.002166608
Global,2025,CC,0.002166608
Global,2025,SC,-0.028272176
Global,2025,SC,-0.028272176
Global,2025,SC,-0.028272176
Global,2025,SC,-0.028272176
Global,2025,SC,-0.028272176
Global,2025,SC,-0.028272176
Global,2030,RF,0
Global,2030,RF,0
Global,2030,RF,0
Global,2030,RF,0
Global,2030,RF,0
Global,2030,RF,0
Global,2030,SS,-0.031859731
Global,2030,SS,-0.031859731
Global,2030,SS,-0.031859731
Global,2030,SS,-0.031859731
Global,2030,SS,-0.031859731
Global,2030,SS,-0.031859731
Global,2030,CC,0.002955192
Global,2030,CC,0.002955192
Global,2030,CC,0.002955192
Global,2030,CC,0.002955192
Global,2030,CC,0.002955192
Global,2030,CC,0.002955192
Global,2030,SC,-0.02950063
Global,2030,SC,-0.02950063
Global,2030,SC,-0.02950063
Global,2030,SC,-0.02950063
Global,2030,SC,-0.02950063
Global,2030,SC,-0.02950063
Global,2035,RF,0
Global,2035,RF,0
Global,2035,RF,0
Global,2035,RF,0
Global,2035,RF,0
Global,2035,RF,0
Global,2035,SS,-0.033922017
Global,2035,SS,-0.033922017
Global,2035,SS,-0.033922017
Global,2035,SS,-0.033922017
Global,2035,SS,-0.033922017
Global,2035,SS,-0.033922017
Global,2035,CC,0.003636275
Global,2035,CC,0.003636275
Global,2035,CC,0.003636275
Global,2035,CC,0.003636275
Global,2035,CC,0.003636275
Global,2035,CC,0.003636275
Global,2035,SC,-0.031740933
Global,2035,SC,-0.031740933
Global,2035,SC,-0.031740933
Global,2035,SC,-0.031740933
Global,2035,SC,-0.031740933
Global,2035,SC,-0.031740933
Global,2040,RF,0
Global,2040,RF,0
Global,2040,RF,0
Global,2040,RF,0
Global,2040,RF,0
Global,2040,RF,0
Global,2040,SS,-0.036254171
Global,2040,SS,-0.036254171
Global,2040,SS,-0.036254171
Global,2040,SS,-0.036254171
Global,2040,SS,-0.036254171
Global,2040,SS,-0.036254171
Global,2040,CC,0.003626972
Global,2040,CC,0.003626972
Global,2040,CC,0.003626972
Global,2040,CC,0.003626972
Global,2040,CC,0.003626972
Global,2040,CC,0.003626972
Global,2040,SC,-0.034261747
Global,2040,SC,-0.034261747
Global,2040,SC,-0.034261747
Global,2040,SC,-0.034261747
Global,2040,SC,-0.034261747
Global,2040,SC,-0.034261747
Global,2045,RF,0
Global,2045,RF,0
Global,2045,RF,0
Global,2045,RF,0
Global,2045,RF,0
Global,2045,RF,0
Global,2045,SS,-0.038888348
Global,2045,SS,-0.038888348
Global,2045,SS,-0.038888348
Global,2045,SS,-0.038888348
Global,2045,SS,-0.038888348
Global,2045,SS,-0.038888348
Global,2045,CC,0.003329781
Global,2045,CC,0.003329781
Global,2045,CC,0.003329781
Global,2045,CC,0.003329781
Global,2045,CC,0.003329781
Global,2045,CC,0.003329781
Global,2045,SC,-0.037044614
Global,2045,SC,-0.037044614
Global,2045,SC,-0.037044614
Global,2045,SC,-0.037044614
Global,2045,SC,-0.037044614
Global,2045,SC,-0.037044614
Global,2050,RF,0
Global,2050,RF,0
Global,2050,RF,0
Global,2050,RF,0
Global,2050,RF,0
Global,2050,RF,0
Global,2050,SS,-0.041517171
Global,2050,SS,-0.041517171
Global,2050,SS,-0.041517171
Global,2050,SS,-0.041517171
Global,2050,SS,-0.041517171
Global,2050,SS,-0.041517171
Global,2050,CC,0.003537371
Global,2050,CC,0.003537371
Global,2050,CC,0.003537371
Global,2050,CC,0.003537371
Global,2050,CC,0.003537371
Global,2050,CC,0.003537371
Global,2050,SC,-0.039700471
Global,2050,SC,-0.039700471
Global,2050,SC,-0.039700471
Global,2050,SC,-0.039700471
Global,2050,SC,-0.039700471
Global,2050,SC,-0.039700471
Global,2055,RF,0
Global,2055,RF,0
Global,2055,RF,0
Global,2055,RF,0
Global,2055,RF,0
Global,2055,RF,0
Global,2055,SS,-0.044858099
Global,2055,SS,-0.044858099
Global,2055,SS,-0.044858099
Global,2055,SS,-0.044858099
Global,2055,SS,-0.044858099
Global,2055,SS,-0.044858099
Global,2055,CC,0.00302412
Global,2055,CC,0.00302412
Global,2055,CC,0.00302412
Global,2055,CC,0.00302412
Global,2055,CC,0.00302412
Global,2055,CC,0.00302412
Global,2055,SC,-0.043978538
Global,2055,SC,-0.043978538
Global,2055,SC,-0.043978538
Global,2055,SC,-0.043978538
Global,2055,SC,-0.043978538
Global,2055,SC,-0.043978538
Global,2060,RF,0
Global,2060,RF,0
Global,2060,RF,0
Global,2060,RF,0
Global,2060,RF,0
Global,2060,RF,0
Global,2060,SS,-0.047614695
Global,2060,SS,-0.047614695
Global,2060,SS,-0.047614695
Global,2060,SS,-0.047614695
Global,2060,SS,-0.047614695
Global,2060,SS,-0.047614695
Global,2060,CC,0.002626071
Global,2060,CC,0.002626071
Global,2060,CC,0.002626071
Global,2060,CC,0.002626071
Global,2060,CC,0.002626071
Global,2060,CC,0.002626071
Global,2060,SC,-0.048702846
Global,2060,SC,-0.048702846
Global,2060,SC,-0.048702846
Global,2060,SC,-0.048702846
Global,2060,SC,-0.048702846
Global,2060,SC,-0.048702846
Global,2065,RF,0
Global,2065,RF,0
Global,2065,RF,0
Global,2065,RF,0
Global,2065,RF,0
Global,2065,RF,0
Global,2065,SS,-0.049989869
Global,2065,SS,-0.049989869
Global,2065,SS,-0.049989869
Global,2065,SS,-0.049989869
Global,2065,SS,-0.049989869
Global,2065,SS,-0.049989869
Global,2065,CC,0.003084504
Global,2065,CC,0.003084504
Global,2065,CC,0.003084504
Global,2065,CC,0.003084504
Global,2065,CC,0.003084504
Global,2065,CC,0.003084504
Global,2065,SC,-0.051485537
Global,2065,SC,-0.051485537
Global,2065,SC,-0.051485537
Global,2065,SC,-0.051485537
Global,2065,SC,-0.051485537
Global,2065,SC,-0.051485537
Global,2070,RF,0
Global,2070,RF,0
Global,2070,RF,0
Global,2070,RF,0
Global,2070,RF,0
Global,2070,RF,0
Global,2070,SS,-0.052139212
Global,2070,SS,-0.052139212
Global,2070,SS,-0.052139212
Global,2070,SS,-0.052139212
Global,2070,SS,-0.052139212
Global,2070,SS,-0.052139212
Global,2070,CC,0.003519728
Global,2070,CC,0.003519728
Global,2070,CC,0.003519728
Global,2070,CC,0.003519728
Global,2070,CC,0.003519728
Global,2070,CC,0.003519728
Global,2070,SC,-0.051981818
Global,2070,SC,-0.051981818
Global,2070,SC,-0.051981818
Global,2070,SC,-0.051981818
Global,2070,SC,-0.051981818
Global,2070,SC,-0.051981818
Global,2075,RF,0
Global,2075,RF,0
Global,2075,RF,0
Global,2075,RF,0
Global,2075,RF,0
Global,2075,RF,0
Global,2075,SS,-0.054605378
Global,2075,SS,-0.054605378
Global,2075,SS,-0.054605378
Global,2075,SS,-0.054605378
Global,2075,SS,-0.054605378
Global,2075,SS,-0.054605378
Global,2075,CC,0.004595084
Global,2075,CC,0.004595084
Global,2075,CC,0.004595084
Global,2075,CC,0.004595084
Global,2075,CC,0.004595084
Global,2075,CC,0.004595084
Global,2075,SC,-0.054280836
Global,2075,SC,-0.054280836
Global,2075,SC,-0.054280836
Global,2075,SC,-0.054280836
Global,2075,SC,-0.054280836
Global,2075,SC,-0.054280836
Global,2080,RF,0
Global,2080,RF,0
Global,2080,RF,0
Global,2080,RF,0
Global,2080,RF,0
Global,2080,RF,0
Global,2080,SS,-0.057014157
Global,2080,SS,-0.057014157
Global,2080,SS,-0.057014157
Global,2080,SS,-0.057014157
Global,2080,SS,-0.057014157
Global,2080,SS,-0.057014157
Global,2080,CC,0.004171311
Global,2080,CC,0.004171311
Global,2080,CC,0.004171311
Global,2080,CC,0.004171311
Global,2080,CC,0.004171311
Global,2080,CC,0.004171311
Global,2080,SC,-0.057317511
Global,2080,SC,-0.057317511
Global,2080,SC,-0.057317511
Global,2080,SC,-0.057317511
Global,2080,SC,-0.057317511
Global,2080,SC,-0.057317511
Global,2085,RF,0
Global,2085,RF,0
Global,2085,RF,0
Global,2085,RF,0
Global,2085,RF,0
Global,2085,RF,0
Global,2085,SS,-0.059103984
Global,2085,SS,-0.059103984
Global,2085,SS,-0.059103984
Global,2085,SS,-0.059103984
Global,2085,SS,-0.059103984
Global,2085,SS,-0.059103984
Global,2085,CC,0.005185144
Global,2085,CC,0.005185144
Global,2085,CC,0.005185144
Global,2085,CC,0.005185144
Global,2085,CC,0.005185144
Global,2085,CC,0.005185144
Global,2085,SC,-0.058030457
Global,2085,SC,-0.058030457
Global,2085,SC,-0.058030457
Global,2085,SC,-0.058030457
Global,2085,SC,-0.058030457
Global,2085,SC,-0.058030457
Global,2090,RF,0
Global,2090,RF,0
Global,2090,RF,0
Global,2090,RF,0
Global,2090,RF,0
Global,2090,RF,0
Global,2090,SS,-0.060864833
Global,2090,SS,-0.060864833
Global,2090,SS,-0.060864833
Global,2090,SS,-0.060864833
Global,2090,SS,-0.060864833
Global,2090,SS,-0.060864833
Global,2090,CC,0.004724383
Global,2090,CC,0.004724383
Global,2090,CC,0.004724383
Global,2090,CC,0.004724383
Global,2090,CC,0.004724383
Global,2090,CC,0.004724383
Global,2090,SC,-0.060918838
Global,2090,SC,-0.060918838
Global,2090,SC,-0.060918838
Global,2090,SC,-0.060918838
Global,2090,SC,-0.060918838
Global,2090,SC,-0.060918838
Global,2095,RF,0
Global,2095,RF,0
Global,2095,RF,0
Global,2095,RF,0
Global,2095,RF,0
Global,2095,RF,0
Global,2095,SS,-0.06240297
Global,2095,SS,-0.06240297
Global,2095,SS,-0.06240297
Global,2095,SS,-0.06240297
Global,2095,SS,-0.06240297
Global,2095,SS,-0.06240297
Global,2095,CC,0.004633805
Global,2095,CC,0.004633805
Global,2095,CC,0.004633805
Global,2095,CC,0.004633805
Global,2095,CC,0.004633805
Global,2095,CC,0.004633805
Global,2095,SC,-0.062129148
Global,2095,SC,-0.062129148
Global,2095,SC,-0.062129148
Global,2095,SC,-0.062129148
Global,2095,SC,-0.062129148
Global,2095,SC,-0.062129148
Global,2100,RF,0
Global,2100,RF,0
Global,2100,RF,0
Global,2100,RF,0
Global,2100,RF,0
Global,2100,RF,0
Global,2100,SS,-0.064144695
Global,2100,SS,-0.064144695
Global,2100,SS,-0.064144695
Global,2100,SS,-0.064144695
Global,2100,SS,-0.064144695
Global,2100,SS,-0.064144695
Global,2100,CC,0.004453913
Global,2100,CC,0.004453913
Global,2100,CC,0.004453913
Global,2100,CC,0.004453913
Global,2100,CC,0.004453913
Global,2100,CC,0.004453913
Global,2100,SC,-0.064714131
Global,2100,SC,-0.064714131
Global,2100,SC,-0.064714131
Global,2100,SC,-0.064714131
Global,2100,SC,-0.064714131
Global,2100,SC,-0.064714131
Africa_Western,2015,RF,0
Africa_Western,2015,RF,0
Africa_Western,2015,RF,0
Africa_Western,2015,RF,0
Africa_Western,2015,RF,0
Africa_Western,2015,RF,0
Brazil,2015,RF,0
Brazil,2015,RF,0
Brazil,2015,RF,0
Brazil,2015,RF,0
Brazil,2015,RF,0
Brazil,2015,RF,0
Middle East,2015,RF,0
Middle East,2015,RF,0
Middle East,2015,RF,0
Middle East,2015,RF,0
Middle East,2015,RF,0
Middle East,2015,RF,0
USA,2015,RF,0
USA,2015,RF,0
USA,2015,RF,0
USA,2015,RF,0
USA,2015,RF,0
USA,2015,RF,0
Africa_Western,2020,RF,0
Africa_Western,2020,RF,0
Africa_Western,2020,RF,0
Africa_Western,2020,RF,0
Africa_Western,2020,RF,0
Africa_Western,2020,RF,0
Brazil,2020,RF,0
Brazil,2020,RF,0
Brazil,2020,RF,0
Brazil,2020,RF,0
Brazil,2020,RF,0
Brazil,2020,RF,0
Middle East,2020,RF,0
Middle East,2020,RF,0
Middle East,2020,RF,0
Middle East,2020,RF,0
Middle East,2020,RF,0
Middle East,2020,RF,0
USA,2020,RF,0
USA,2020,RF,0
USA,2020,RF,0
USA,2020,RF,0
USA,2020,RF,0
USA,2020,RF,0
Africa_Western,2025,RF,0
Africa_Western,2025,RF,0
Africa_Western,2025,RF,0
Africa_Western,2025,RF,0
Africa_Western,2025,RF,0
Africa_Western,2025,RF,0
Brazil,2025,RF,0
Brazil,2025,RF,0
Brazil,2025,RF,0
Brazil,2025,RF,0
Brazil,2025,RF,0
Brazil,2025,RF,0
Middle East,2025,RF,0
Middle East,2025,RF,0
Middle East,2025,RF,0
Middle East,2025,RF,0
Middle East,2025,RF,0
Middle East,2025,RF,0
USA,2025,RF,0
USA,2025,RF,0
USA,2025,RF,0
USA,2025,RF,0
USA,2025,RF,0
USA,2025,RF,0
Africa_Western,2030,RF,0
Africa_Western,2030,RF,0
Africa_Western,2030,RF,0
Africa_Western,2030,RF,0
Africa_Western,2030,RF,0
Africa_Western,2030,RF,0
Brazil,2030,RF,0
Brazil,2030,RF,0
Brazil,2030,RF,0
Brazil,2030,RF,0
Brazil,2030,RF,0
Brazil,2030,RF,0
Middle East,2030,RF,0
Middle East,2030,RF,0
Middle East,2030,RF,0
Middle East,2030,RF,0
Middle East,2030,RF,0
Middle East,2030,RF,0
USA,2030,RF,0
USA,2030,RF,0
USA,2030,RF,0
USA,2030,RF,0
USA,2030,RF,0
USA,2030,RF,0
Africa_Western,2035,RF,0
Africa_Western,2035,RF,0
Africa_Western,2035,RF,0
Africa_Western,2035,RF,0
Africa_Western,2035,RF,0
Africa_Western,2035,RF,0
Brazil,2035,RF,0
Brazil,2035,RF,0
Brazil,2035,RF,0
Brazil,2035,RF,0
Brazil,2035,RF,0
Brazil,2035,RF,0
Middle East,2035,RF,0
Middle East,2035,RF,0
Middle East,2035,RF,0
Middle East,2035,RF,0
Middle East,2035,RF,0
Middle East,2035,RF,0
USA,2035,RF,0
USA,2035,RF,0
USA,2035,RF,0
USA,2035,RF,0
USA,2035,RF,0
