"# Regional price paid for consumption, domestic producer price excluding the cereal self-sufficiency subsidy, and the price of the cereal self-sufficiency credit (2015$/kg)",,,,
Scenario,region,type,year,value
RF,Africa_Western,Domestic Producer Price before Subsidy,2015,0.1012
RF,Africa_Western,Regional Price Paid for Consumption,2015,0.100364
RF,Brazil,Domestic Producer Price before Subsidy,2015,0.047
RF,Brazil,Regional Price Paid for Consumption,2015,0.0470941
RF,Middle East,Domestic Producer Price before Subsidy,2015,0.0975
RF,Middle East,Regional Price Paid for Consumption,2015,0.0646783
RF,USA,Domestic Producer Price before Subsidy,2015,0.0628
RF,USA,Regional Price Paid for Consumption,2015,0.062776
RF,Africa_Western,Domestic Producer Price before Subsidy,2020,0.104114
RF,Africa_Western,Regional Price Paid for Consumption,2020,0.103165
RF,Brazil,Domestic Producer Price before Subsidy,2020,0.0455741
RF,Brazil,Regional Price Paid for Consumption,2020,0.0456774
RF,Middle East,Domestic Producer Price before Subsidy,2020,0.0990303
RF,Middle East,Regional Price Paid for Consumption,2020,0.0649539
RF,USA,Domestic Producer Price before Subsidy,2020,0.0620316
RF,USA,Regional Price Paid for Consumption,2020,0.0620115
RF,Africa_Western,Domestic Producer Price before Subsidy,2025,0.107046
RF,Africa_Western,Regional Price Paid for Consumption,2025,0.105942
RF,Brazil,Domestic Producer Price before Subsidy,2025,0.0447825
RF,Brazil,Regional Price Paid for Consumption,2025,0.0448882
RF,Middle East,Domestic Producer Price before Subsidy,2025,0.101236
RF,Middle East,Regional Price Paid for Consumption,2025,0.0647315
RF,USA,Domestic Producer Price before Subsidy,2025,0.0621471
RF,USA,Regional Price Paid for Consumption,2025,0.062126
RF,Africa_Western,Domestic Producer Price before Subsidy,2030,0.110623
RF,Africa_Western,Regional Price Paid for Consumption,2030,0.109306
RF,Brazil,Domestic Producer Price before Subsidy,2030,0.0440541
RF,Brazil,Regional Price Paid for Consumption,2030,0.0441613
RF,Middle East,Domestic Producer Price before Subsidy,2030,0.104146
RF,Middle East,Regional Price Paid for Consumption,2030,0.0644264
RF,USA,Domestic Producer Price before Subsidy,2030,0.0620357
RF,USA,Regional Price Paid for Consumption,2030,0.0620142
RF,Africa_Western,Domestic Producer Price before Subsidy,2035,0.11323
RF,Africa_Western,Regional Price Paid for Consumption,2035,0.111802
RF,Brazil,Domestic Producer Price before Subsidy,2035,0.0440931
RF,Brazil,Regional Price Paid for Consumption,2035,0.0442022
RF,Middle East,Domestic Producer Price before Subsidy,2035,0.106646
RF,Middle East,Regional Price Paid for Consumption,2035,0.0649253
RF,USA,Domestic Producer Price before Subsidy,2035,0.0622293
RF,USA,Regional Price Paid for Consumption,2035,0.062209
RF,Africa_Western,Domestic Producer Price before Subsidy,2040,0.114728
RF,Africa_Western,Regional Price Paid for Consumption,2040,0.113242
RF,Brazil,Domestic Producer Price before Subsidy,2040,0.0440825
RF,Brazil,Regional Price Paid for Consumption,2040,0.044193
RF,Middle East,Domestic Producer Price before Subsidy,2040,0.108861
RF,Middle East,Regional Price Paid for Consumption,2040,0.0652733
RF,USA,Domestic Producer Price before Subsidy,2040,0.0621916
RF,USA,Regional Price Paid for Consumption,2040,0.0621727
RF,Africa_Western,Domestic Producer Price before Subsidy,2045,0.116417
RF,Africa_Western,Regional Price Paid for Consumption,2045,0.114893
RF,Brazil,Domestic Producer Price before Subsidy,2045,0.044299
RF,Brazil,Regional Price Paid for Consumption,2045,0.0444115
RF,Middle East,Domestic Producer Price before Subsidy,2045,0.111564
RF,Middle East,Regional Price Paid for Consumption,2045,0.0659961
RF,USA,Domestic Producer Price before Subsidy,2045,0.0628075
RF,USA,Regional Price Paid for Consumption,2045,0.0627889
RF,Africa_Western,Domestic Producer Price before Subsidy,2050,0.118121
RF,Africa_Western,Regional Price Paid for Consumption,2050,0.116543
RF,Brazil,Domestic Producer Price before Subsidy,2050,0.0444863
RF,Brazil,Regional Price Paid for Consumption,2050,0.0446003
RF,Middle East,Domestic Producer Price before Subsidy,2050,0.113658
RF,Middle East,Regional Price Paid for Consumption,2050,0.0665619
RF,USA,Domestic Producer Price before Subsidy,2050,0.0635877
RF,USA,Regional Price Paid for Consumption,2050,0.0635681
CC,Africa_Western,Domestic Producer Price before Subsidy,2015,0.1012
CC,Africa_Western,Regional Price Paid for Consumption,2015,0.100364
CC,Brazil,Domestic Producer Price before Subsidy,2015,0.047
CC,Brazil,Regional Price Paid for Consumption,2015,0.0470941
CC,Middle East,Domestic Producer Price before Subsidy,2015,0.0975
CC,Middle East,Regional Price Paid for Consumption,2015,0.0646783
CC,USA,Domestic Producer Price before Subsidy,2015,0.0628
CC,USA,Regional Price Paid for Consumption,2015,0.062776
CC,Africa_Western,Domestic Producer Price before Subsidy,2020,0.106029
CC,Africa_Western,Regional Price Paid for Consumption,2020,0.105065
CC,Brazil,Domestic Producer Price before Subsidy,2020,0.0462898
CC,Brazil,Regional Price Paid for Consumption,2020,0.0463958
CC,Middle East,Domestic Producer Price before Subsidy,2020,0.101493
CC,Middle East,Regional Price Paid for Consumption,2020,0.0661923
CC,USA,Domestic Producer Price before Subsidy,2020,0.063947
CC,USA,Regional Price Paid for Consumption,2020,0.0639238
CC,Africa_Western,Domestic Producer Price before Subsidy,2025,0.109707
CC,Africa_Western,Regional Price Paid for Consumption,2025,0.108568
CC,Brazil,Domestic Producer Price before Subsidy,2025,0.0456641
CC,Brazil,Regional Price Paid for Consumption,2025,0.0457728
CC,Middle East,Domestic Producer Price before Subsidy,2025,0.10471
CC,Middle East,Regional Price Paid for Consumption,2025,0.0662041
CC,USA,Domestic Producer Price before Subsidy,2025,0.0641316
CC,USA,Regional Price Paid for Consumption,2025,0.0641078
CC,Africa_Western,Domestic Producer Price before Subsidy,2030,0.113983
CC,Africa_Western,Regional Price Paid for Consumption,2030,0.112621
CC,Brazil,Domestic Producer Price before Subsidy,2030,0.0451505
CC,Brazil,Regional Price Paid for Consumption,2030,0.0452615
CC,Middle East,Domestic Producer Price before Subsidy,2030,0.108498
CC,Middle East,Regional Price Paid for Consumption,2030,0.0662779
CC,USA,Domestic Producer Price before Subsidy,2030,0.0649227
CC,USA,Regional Price Paid for Consumption,2030,0.0648963
CC,Africa_Western,Domestic Producer Price before Subsidy,2035,0.11738
CC,Africa_Western,Regional Price Paid for Consumption,2035,0.115891
CC,Brazil,Domestic Producer Price before Subsidy,2035,0.0454071
CC,Brazil,Regional Price Paid for Consumption,2035,0.0455206
CC,Middle East,Domestic Producer Price before Subsidy,2035,0.112038
CC,Middle East,Regional Price Paid for Consumption,2035,0.067144
CC,USA,Domestic Producer Price before Subsidy,2035,0.0663385
CC,USA,Regional Price Paid for Consumption,2035,0.0663096
CC,Africa_Western,Domestic Producer Price before Subsidy,2040,0.119524
CC,Africa_Western,Regional Price Paid for Consumption,2040,0.117967
CC,Brazil,Domestic Producer Price before Subsidy,2040,0.04563
CC,Brazil,Regional Price Paid for Consumption,2040,0.0457454
CC,Middle East,Domestic Producer Price before Subsidy,2040,0.115391
